Episode, Total Reward, Steps
1, -21.99999999999995, 116
2, -2.400000000000001, 18
3, -6.200000000000004, 37
4, -6.800000000000004, 40
5, -1.8000000000000003, 15
6, -1.4, 13
7, -1.8000000000000003, 15
8, -2.2000000000000006, 17
9, -3.000000000000001, 21
10, -3.8000000000000016, 25
11, -1.4, 13
12, -1.4, 13
13, -1.8000000000000003, 15
14, -0.9999999999999998, 11
15, -0.9999999999999998, 11
16, -0.9999999999999998, 11
17, -1.8000000000000003, 15
18, -0.9999999999999998, 11
19, -1.6, 14
20, -1.4, 13
21, -1.4, 13
22, -0.9999999999999998, 11
23, -1.4, 13
24, -0.9999999999999998, 11
25, -0.9999999999999998, 11
26, -1.4, 13
27, -0.9999999999999998, 11
28, -1.8000000000000003, 15
29, -0.9999999999999998, 11
30, -1.8000000000000003, 15
31, -0.9999999999999998, 11
32, -0.9999999999999998, 11
33, -0.9999999999999998, 11
34, -1.4, 13
35, -0.9999999999999998, 11
36, -1.4, 13
37, -0.9999999999999998, 11
38, -0.9999999999999998, 11
39, -0.9999999999999998, 11
40, -0.9999999999999998, 11
41, -0.9999999999999998, 11
42, -1.4, 13
43, -1.1999999999999997, 12
44, -0.9999999999999998, 11
45, -0.9999999999999998, 11
46, -0.9999999999999998, 11
47, -0.9999999999999998, 11
48, -0.9999999999999998, 11
49, -0.9999999999999998, 11
50, -0.9999999999999998, 11
51, -0.9999999999999998, 11
52, -0.9999999999999998, 11
53, -0.9999999999999998, 11
54, -0.9999999999999998, 11
55, -0.9999999999999998, 11
56, -0.9999999999999998, 11
57, -1.4, 13
58, -0.9999999999999998, 11
59, -0.9999999999999998, 11
60, -0.9999999999999998, 11
61, -0.9999999999999998, 11
62, -0.9999999999999998, 11
63, -0.9999999999999998, 11
64, -1.1999999999999997, 12
65, -1.6, 14
66, -0.9999999999999998, 11
67, -0.9999999999999998, 11
68, -0.9999999999999998, 11
69, -0.9999999999999998, 11
70, -0.9999999999999998, 11
71, -0.9999999999999998, 11
72, -0.9999999999999998, 11
73, -0.9999999999999998, 11
74, -0.9999999999999998, 11
75, -1.1999999999999997, 12
76, -0.9999999999999998, 11
77, -0.9999999999999998, 11
78, -0.9999999999999998, 11
79, -0.9999999999999998, 11
80, -1.4, 13
81, -0.9999999999999998, 11
82, -0.9999999999999998, 11
83, -0.9999999999999998, 11
84, -0.9999999999999998, 11
85, -0.9999999999999998, 11
86, -0.9999999999999998, 11
87, -0.9999999999999998, 11
88, -0.9999999999999998, 11
89, -0.9999999999999998, 11
90, -0.9999999999999998, 11
91, -0.9999999999999998, 11
92, -0.9999999999999998, 11
93, -0.9999999999999998, 11
94, -0.9999999999999998, 11
95, -0.9999999999999998, 11
96, -0.9999999999999998, 11
97, -0.9999999999999998, 11
98, -0.9999999999999998, 11
99, -0.9999999999999998, 11
100, -0.9999999999999998, 11
